index,code,description,type,encodedPolyline,latitude,longitude
45,NLHTB00000,'s-Hertogenbosch,4,gbuzHg|d_@{PcLeQ_FyJfAi@oF`a@sX`IdG~Fjc@fS}FrPeGzTv@dNJdJmR~C_N{BZaDoE}A}C@}HjAiIpAqKO_P`IyCdAkDiBiT`MuGpQUeAfe@fDnDhLcLlP`TgHjQnHbJo^hdAcHmL_B_YiPrBdA`P_AjBbLpYe[|f@gUgg@qDuReLcAmMdC}I~EsInFaHtCGqE,51.72276,5.27316
46,FRENC00000,Nancy,4,mxfhHofwd@yRi~@v\g{AjdAkSpaAqs@|^eXnn@fg@k}@fnCgbDxeA,48.70039,6.18616
47,FRSXB00000,Strasbourg,4,ocugHg|un@nWst@joBiC|jAxqBfdIcm@heBjb@`kA~`Dit@dn@kgEa]geCk_AyeDdn@i}Bu~Baa@imA,48.61,7.8178
48,DEHEN00000,Heilbronn,4,ohfkHgufw@?}[ngB?|CtWgf@jp@tu@gQ`[ia@nsBdB`MuWfy@vXd~@hjB}C`O_mIe_@e]yYyOqs@mUiC,49.18936,9.21444
49,DESTR00000,Stuttgart,4,sr}hH_thw@`RwIteApiAj}AaxApq@slCnsAyeAhpAst@rIv_@|CzKuvC|zBokBbyDieAdn@otAanB,48.81722,9.22448
50,DEFAD00000,Frankfurt am Main,4,inwpHg~xs@vL_N{dAqzC`@_wDgFsoBwa@ceCvk@gxBwa@_wAsr@{Dgh@xeA`AhKxdAsl@bNdu@gh@nmBwVzR`Klj@`b@d_@`@dkAh^njCoDleBjKtcA|fAlbC,50.09653,8.65268
51,DEASC00000,Aschaffenburg,4,_x`pHgojv@dE`Kna@urA|h@abDqw@qxA`PmvAjkBfsAvEvFjIiNq^}_AqnAwy@up@jZp@`hCdSndAhCl|@i`@xaD,49.98032,9.07012
52,DEWUE00000,Würzburg,4,md~nHoah{@mJePnU{kBa[epBb]wdAn|A_NK|SkgAhRq`@tu@ve@leBzLv}@gWre@uZvX,49.80311,9.87688
53,DESCW00000,Schweinfurt,4,ahipHipi}@nDsVmgAy{AymAquBgGfJtr@vfC`fB~vA,50.02385,10.21205
54,DEHLT00000,Hallstadt,4,ysroH}zdaAgFmT{NepBza@sgBf\r@|E~`Akf@p_Bz@tx@{HtP,49.90797,10.84351
55,DENUE00000,Nürnberg,4,asvlHyscbAaH{ZraDc}KnoCa]beBh|Aa@dIowB`l@{{A_Ui{Cz`Is\l[,49.43681,11.00109
56,DEKEM00000,Kelheim,4,{triHszigA`RvBl_@owAnNyC~i@ezAuE_hG}IoUqOvByMteFak@nhA}Ox}C,48.9251,11.8521
57,DEREG00000,Regensburg,4,avfjHejuhAqIse@vMasCjRi{G~jAslFv\{KtB~~A{gAdyJeUvkDqc@lgA,49.02769,12.07475
58,DEBOA00000,Bogen,4,o_oiHefglAaRoMhQowAqCyeArgAkwC`XeXhPvQowAfdJeTeX,48.90632,12.65779
59,DEPAS00000,Passau,4,obogHqg{pApX~MdXgsGtJm[eG_fBnAmlBi{@al@wEvXrTvnCsInjCbFf{AcFtmC,48.57912,13.41577
60,ATLNZ00000,Linz am Rhein,4,qqzeHgtdvAbUyYoy@_uBfk@a{@d|D}x@py@o`G_Sc|@ulFprFiuAbeC{AdkA~Wnr@xbAbjA,48.31017,14.28308
61,ATENA00000,Enns,4,e}leH}epwA{Uuu@~f@yeD`^|Lvq@piDsC|b@jI|_A}QtWwtA_wA,48.24035,14.50607
62,ATVIE00000,Wenen,4,s|weHw_vbBg\kkBzgHgnFzs@iqE~sEefCxbH_bOdcBse@xb@ijB`]vXczBptKwrMfoQ}nK~bI,48.29658,16.33804
63,SKBTS00000,Bratislava,4,ujydHixkgBrV`@nYmvDbfB?|fEdPzrAkp@zb@gvCoYyh@_|Ft~B{pBqpA}yAzuAqBx`CvNtmC,48.14011,17.10485
64,HUBUD00000,Budapest,4,e`raHcvlsBlw@euClgJ`dCdbIzaCnaCihC~yFknAlaH~xLsl@dn@aiNwuFyoEr}BuuCePmkMcoEmw@en@,47.61107,19.0757
65,NLTNZ00000,Terneuzen,4,o_{wHaqjVlOkZbTabAkBoMmy@jSwIqd@iR{RkDbSmBuAyCuq@oXef@caAp_BgwAlL{sCd_@o_Bf}@mX~}DfiDw_CjrBa{@jjB{Zvx@lEv|@d_@,51.26152,3.82753
66,BEZEL00000,Zelzate,4,ydowHkdeV?sVnw@oUxoFhmAfYlq@wE|L{D`KczBmkAIjOacBe[oqGsWlJa{@jjDtf@,51.20093,3.7999
67,NLMST00000,Maastricht,4,_sruHsyza@~l@oc@ri@d_@|oCf{At~@gQ~h@oFrdB{Kx_Cxh@lW~j@WzRasEgg@_{BvI{b@`OcKmAkXg\{WbnA{w@xY{tAlIsg@uu@`XwkD,50.89088,5.71306
68,DEDUS00000,Düsseldorf,4,oauwHw`hh@?_aAfjAfJbw@~gDH`{@kwAvIyN|[cMbWcLef@u@}dE,51.23112,6.7638
69,DENSS00000,Neuss,4,sktwHue`h@bPfQrg@ddAvr@ef@~pAl{BqcA`l@o{@kb@{YmvAsd@ukAt@wQ,51.22762,6.72363
70,CHLEN00000,Koblenz,4,e`trHk{em@qb@uf@db@{yBju@wpB~{Aqd@pzHpzCqFlj@y^b^_kAmvAegAm[|If{A_MxY}VgQTeiB}dBoU{z@ntBeuA`nB,50.40659,7.5719
71,DEDTM00000,Dortmund,4,gjtyH_dkl@DqRzb@~BdO{p@dJjDjd@l|@zX}AiBsVhG`@nKkm@zb@aGnIdXTl|@qk@`h@_Bwj@qr@~EwzAyJ,51.55508,7.43504
72,DEOLO00000,Oldenburg,4,mqgcI_sbq@dMgg@moAkfAmEqd@sHxJh@l}AzKQ|aAtm@,53.12807,8.21056
73,DEHAM00000,Hamburg,4,_xyeIgjc{@fl@jDn|CueF`kGiqKvpA_mE~l@mhOad@uu@qsF_N{kD{|Du`Ac^k}AdeIqOjfD|GtoHfe@dlRuMf_F,53.54896,9.85268
74,DEMID00000,Minden,4,elf~Hwyhu@lL~TnHggC`x@wg@|AgQgXm`Aax@{~CoIs@eq@`sFrAhR`z@l[}@zkB,52.30291,8.89772
75,DEMAG00000,Magdeburg,4,imw}H_pdfArAknApzB{rB~~Aha@nUxClh@sHpcCnc@fa@vg@buBrjAiQny@sgDq]cmF_fB}pCppA,52.22629,11.66096
76,DEDRS00000,Dresden,4,eavvHodmrAwDsVxh@kp@ygAadC^yqBl`BwsAh[eiBnLkS~YhmAm~Ar}B~Yv}@lFxoCeMhmA}u@hh@,51.07235,13.67128
77,DEBBG00000,Brandenburg,4,qq|~HqiekA|S}i@jsCor@~QeBeZmsEg|CsuKwi@bAw\toHteAjyK,52.41641,12.48425
78,DEBER00000,Berlin,4,u~m_I{spoAr@m[yuAsl@kl@}Sch@lLr_@ojCjLkaCdfHosb@vhAaaJ_r@glAu_DzZkzC`wMuhDj{Mwh@r~SyFjfDf~AbyAbuAvg@|oAal@loA~T,52.50555,13.19758
