index,voyage_id,ship_id,voyage_start,voyage_end,ship_alias
40,6042,139,2021-07-08T22:00:00Z,2021-07-10T21:59:59Z,139ship
41,6043,580,2021-07-08T22:00:00Z,2021-07-10T21:59:59Z,580ship
42,6044,237,2021-07-08T22:00:00Z,2021-07-10T21:59:59Z,237ship
43,6045,576,2021-07-09T22:00:00Z,2021-07-11T21:59:59Z,576ship
44,6047,228,2021-07-08T22:00:00Z,2021-07-10T21:59:59Z,228ship
45,6048,80,2021-07-05T22:00:00Z,2021-07-07T21:59:59Z,80ship
46,6049,72,2021-07-06T22:00:00Z,2021-07-08T21:59:59Z,72ship
47,6050,579,2021-07-09T22:00:00Z,2021-07-11T21:59:59Z,579ship
48,6051,578,2021-07-07T22:00:00Z,2021-07-09T21:59:59Z,578ship
49,6052,279,2021-07-09T22:00:00Z,2021-07-11T21:59:59Z,279ship
50,6055,85,2021-07-05T22:00:00Z,2021-07-08T21:59:59Z,85ship
51,6056,280,2021-07-06T22:00:00Z,2021-07-12T21:59:59Z,280ship
52,6057,2,2021-07-08T22:00:00Z,2021-07-10T21:59:59Z,2ship
