index,Id,Name,ENI,MMSI,capacityTon,capacityM3,lengthCm,widthCm,maxDraughtCm,minDraughtCm,tonnageCertificates,flag,avgFuelConsumptionLtrKm,categoryTon,categoryM3,categoryM2
51,55,Christian Burmester,4607920,211518190.0,1500.0,2000.0,8500.0,900.0,,,,,,1500.0,2000.0,8174100
52,56,Jaguar,4006210,211484070.0,2500.0,4000.0,10400.0,1048.0,,,,,,2500.0,4000.0,10939500
53,57,Triade,2332354,244710284.0,2792.0,3013.0,11000.0,1045.0,331.0,90.0,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,3000.0,3500.0,12322200
54,58,Sonora,2334060,244730016.0,3000.0,3500.0,11000.0,1140.0,,,,,,3000.0,3500.0,13704900
55,59,Echternach,2327187,211514600.0,3000.0,3500.0,10200.0,1200.0,,,,,,3000.0,3500.0,12322200
56,60,Hanneke,2333597,244730565.0,1677.0,1857.0,8598.0,960.0,320.0,96.0,"{""190"":""679"",""290"":""1443"",""170"":""530"",""390"":"""",""270"":""1288"",""150"":""384"",""370"":"""",""250"":""1134"",""130"":""239"",""350"":"""",""230"":"""",""110"":""97"",""330"":"""",""210"":""829"",""310"":""1599"",""90"":"""",""180"":""604"",""280"":""1365"",""160"":""457"",""380"":"""",""260"":""1210"",""140"":""311"",""360"":"""",""240"":""1057"",""120"":""168"",""340"":"""",""220"":""905"",""100"":""28"",""320"":""1677"",""200"":""754"",""300"":""1521"",""400"":"""",""80"":""""}",NL,4.11,2000.0,2000.0,9556800
57,61,Eiltank 19,4502770,211486580.0,2500.0,4000.0,10400.0,1050.0,,,,,,2500.0,4000.0,10939500
58,62,Zambezi,6105132,205500990.0,1795.0,1877.0,8116.0,1019.0,330.0,160.0,,NL,,2000.0,2000.0,9556800
59,63,Markstroom,2320297,244020463.0,2738.0,3350.0,10990.0,1145.0,341.0,170.0,"{""190"":""985"",""290"":""2139"",""170"":""758"",""390"":"""",""270"":""1906"",""150"":""533"",""370"":"""",""250"":""1674"",""130"":"""",""350"":""2738"",""230"":"""",""110"":"""",""330"":""2608"",""210"":""1214"",""310"":""2373"",""90"":"""",""180"":""872"",""280"":""2022"",""160"":""645"",""380"":"""",""260"":""1790"",""140"":""420"",""360"":"""",""240"":""1558"",""120"":"""",""340"":""2726"",""220"":""1328"",""100"":"""",""320"":""2490"",""200"":""1099"",""300"":""2256"",""400"":"""",""80"":""""}",NL,6.23,3000.0,3500.0,13704900
60,64,Aquaship,2333736,244710226.0,3101.0,3382.0,10992.0,1145.0,366.0,140.0,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,3500.0,3500.0,13704900
61,65,Hornhafen,2329810,211441150.0,1000.0,1500.0,6500.0,960.0,,,,,,1000.0,1500.0,6791400
62,66,Julier,7001456,269056798.0,2703.0,3175.0,10980.0,1125.0,330.0,130.0,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,3000.0,3500.0,13704900
63,67,TYRO,2332780,244730982.0,3500.0,4000.0,10900.0,1145.0,,,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,3500.0,4000.0,13704900
64,68,Manouk II,2330289,244670070.0,2500.0,4000.0,11000.0,1000.0,,,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,2500.0,4000.0,12322200
65,69,Copenhagen,2333268,244740449.0,3500.0,4000.0,11000.0,1145.0,,,,,,3500.0,4000.0,13704900
66,70,Florian Burmester,6105221,205500190.0,1575.0,1843.0,8490.0,960.0,320.0,125.0,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,2000.0,2000.0,8174100
67,71,Eiltank 69,2320316,211555440.0,2405.0,2450.0,10993.0,1050.0,320.0,93.0,"{""190"":""999"",""290"":""2076"",""170"":""787"",""390"":"""",""270"":""1858"",""150"":""578"",""370"":"""",""250"":""1642"",""130"":"""",""350"":"""",""230"":"""",""110"":"""",""330"":"""",""210"":""1212"",""310"":""2295"",""90"":"""",""180"":""893"",""280"":""1967"",""160"":""682"",""380"":"""",""260"":""1750"",""140"":""474"",""360"":"""",""240"":""1534"",""120"":"""",""340"":"""",""220"":""1319"",""100"":"""",""320"":""2405"",""200"":""1105"",""300"":""2186"",""400"":"""",""80"":""""}",NL,6.23,2500.0,2500.0,12322200
68,72,Julia,2332840,211544420.0,1605.0,1750.0,8580.0,960.0,313.0,100.0,"{""190"":""670"",""290"":""1434"",""170"":""521"",""390"":"""",""270"":""1279"",""150"":""374"",""370"":"""",""250"":""1125"",""130"":"""",""350"":"""",""230"":"""",""110"":"""",""330"":"""",""210"":""820"",""310"":""1590"",""90"":"""",""180"":""595"",""280"":""1356"",""160"":""447"",""380"":"""",""260"":""1202"",""140"":""302"",""360"":"""",""240"":""1048"",""120"":"""",""340"":"""",""220"":""896"",""100"":"""",""320"":"""",""200"":""745"",""300"":""1511"",""400"":"""",""80"":""""}",NL,4.11,2000.0,2000.0,9556800
69,73,Pegasus,6003657,205346790.0,2494.0,3361.0,10982.0,1143.0,320.0,180.0,"{""190"":""989"",""290"":""2150"",""170"":"""",""390"":"""",""270"":""1915"",""150"":"""",""370"":"""",""250"":""1681"",""130"":"""",""350"":"""",""230"":""1449"",""110"":"""",""330"":"""",""210"":""1218"",""310"":""2387"",""90"":"""",""180"":""875"",""280"":""2033"",""160"":"""",""380"":"""",""260"":""1798"",""140"":"""",""360"":"""",""240"":""1565"",""120"":"""",""340"":"""",""220"":""1333"",""100"":"""",""320"":""2494"",""200"":""1103"",""300"":""2269"",""400"":"""",""80"":""""}",NL,6.23,2500.0,3500.0,13704900
70,74,Escape,2326988,244750137.0,3500.0,4500.0,12500.0,1145.0,,,,,,3500.0,4500.0,15087600
71,75,Queste,2333061,244670564.0,4562.0,5198.0,13500.0,1145.0,416.0,100.0,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,5000.0,5500.0,16470300
72,76,Marsja,2332901,244690367.0,3000.0,3500.0,11000.0,1144.0,,,,,,3000.0,3500.0,13704900
73,77,Canada,2318001,205369390.0,2500.0,4000.0,10400.0,1054.0,,,,,,2500.0,4000.0,12322200
74,78,Doris Deymann,4607300,211510810.0,2301.0,3275.0,11000.0,1140.0,300.0,102.0,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,2500.0,3500.0,13704900
75,79,Helga Deymann,2327108,211519100.0,2991.0,3750.0,10995.0,1145.0,360.0,101.0,"{""190"":""993"",""290"":""2159"",""170"":""763"",""390"":"""",""270"":""1924"",""150"":""537"",""370"":"""",""250"":""1689"",""130"":""315"",""350"":""2872"",""230"":"""",""110"":""97"",""330"":""2633"",""210"":""1224"",""310"":""2396"",""90"":"""",""180"":""878"",""280"":""2041"",""160"":""650"",""380"":"""",""260"":""1806"",""140"":""426"",""360"":""2991"",""240"":""1572"",""120"":""205"",""340"":""2752"",""220"":""1340"",""100"":"""",""320"":""2514"",""200"":""1108"",""300"":""2277"",""400"":"""",""80"":""""}",NL,6.23,3000.0,4000.0,13704900
76,80,Arne,2326116,244670282.0,1745.0,2060.0,8586.0,1062.0,321.0,165.0,"{""190"":""655"",""290"":""1490"",""170"":""493"",""390"":"""",""270"":""1320"",""150"":"""",""370"":"""",""250"":""1152"",""130"":"""",""350"":"""",""230"":"""",""110"":"""",""330"":"""",""210"":""819"",""310"":""1660"",""90"":"""",""180"":""573"",""280"":""1405"",""160"":"""",""380"":"""",""260"":""1236"",""140"":"""",""360"":"""",""240"":""1068"",""120"":"""",""340"":"""",""220"":""902"",""100"":"""",""320"":""1745"",""200"":""737"",""300"":""1575"",""400"":"""",""80"":""""}",NL,4.11,2000.0,2500.0,9556800
77,81,Britanic,2329358,244690468.0,3500.0,4000.0,11000.0,1145.0,,,,,,3500.0,4000.0,13704900
78,82,Hartelstroom,2320298,244900072.0,2750.0,3350.0,10990.0,1145.0,480.0,160.0,"{""190"":""997"",""290"":""2150"",""170"":""770"",""390"":"""",""270"":""1917"",""150"":""544"",""370"":"""",""250"":""1685"",""130"":"""",""350"":""2750"",""230"":"""",""110"":"""",""330"":""2620"",""210"":""1225"",""310"":""2384"",""90"":"""",""180"":""883"",""280"":""2034"",""160"":""657"",""380"":"""",""260"":""1801"",""140"":""432"",""360"":"""",""240"":""1570"",""120"":"""",""340"":""2738"",""220"":""1340"",""100"":"""",""320"":""2502"",""200"":""1111"",""300"":""2267"",""400"":"""",""80"":""""}",NL,6.23,3000.0,3500.0,13704900
79,83,Aquamarin,2326915,244740576.0,3000.0,4000.0,10900.0,1136.0,,,,,,3000.0,4000.0,13704900
80,84,Europa,2321465,244615460.0,2500.0,2500.0,11000.0,1050.0,,,,,,2500.0,2500.0,12322200
81,85,Margret Deymann,2327182,211645510.0,3210.0,3779.0,11000.0,1145.0,376.0,148.0,"{""190"":""1000"",""290"":""2175"",""170"":""770"",""390"":"""",""270"":""1937"",""150"":""541"",""370"":""3136"",""250"":""1701"",""130"":"""",""350"":""2895"",""230"":""1466"",""110"":"""",""330"":""2654"",""210"":""1232"",""310"":""2414"",""90"":"""",""180"":""885"",""280"":""2056"",""160"":""655"",""380"":"""",""260"":""1819"",""140"":""428"",""360"":""3015"",""240"":""1583"",""120"":"""",""340"":""2774"",""220"":""1349"",""100"":"""",""320"":""2534"",""200"":""1116"",""300"":""2294"",""400"":"""",""80"":""""}",NL,6.23,3500.0,4000.0,13704900
82,86,Viking Karve,2327296,244630657.0,1563.0,1841.0,8100.0,1015.0,307.0,122.0,"{""220"":""909"",""210"":""833"",""200"":""758"",""300"":""1525"",""229"":""985"",""290"":""1447"",""280"":""1370"",""160"":""496"",""270"":""1292"",""260"":""1215"",""250"":""1138"",""240"":""1061""}",NL,,2000.0,2000.0,9556800
83,87,Hydrophylida,6002984,205235590.0,1500.0,2000.0,8000.0,900.0,,,,,,1500.0,2000.0,8174100
84,88,Noah,2323448,211520430.0,1500.0,2000.0,7600.0,1000.0,,,,,,1500.0,2000.0,8174100
85,90,Reinhold Deymann,4803740,211511880.0,2000.0,2000.0,8400.0,958.0,,,,,,2000.0,2000.0,8174100
86,91,Dutch Pride,2332400,244670451.0,2950.0,3400.0,11000.0,1145.0,345.0,90.0,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,3000.0,3500.0,13704900
87,92,Partner,2325307,211517220.0,1000.0,1500.0,6500.0,900.0,,,,,,1000.0,1500.0,6791400
88,93,Rina,2333775,244710656.0,3500.0,4000.0,11000.0,1145.0,,,,,,3500.0,4000.0,13704900
89,94,Carrera,6004090,205419690.0,3000.0,3500.0,11000.0,1140.0,,,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,3000.0,3500.0,13704900
90,95,Idris,4607630,269057510.0,1500.0,2000.0,8400.0,950.0,,,,,,1500.0,2000.0,8174100
91,96,Castor,2332934,244650754.0,5000.0,5500.0,13500.0,1145.0,,,,,,5000.0,5500.0,16470300
92,97,Artemis,2319484,244770284.0,1500.0,2000.0,8500.0,900.0,,,,,,1500.0,2000.0,8174100
93,98,Martens 4,2323039,244630027.0,1500.0,1500.0,7900.0,902.0,,,,,,1500.0,1500.0,8174100
94,99,Eiltank 81,4801300,211511210.0,3342.0,4038.0,12499.0,1145.0,348.0,134.0,"{""190"":"""",""290"":"""",""170"":"""",""390"":"""",""270"":"""",""150"":"""",""370"":"""",""250"":"""",""130"":"""",""350"":"""",""110"":"""",""330"":"""",""210"":"""",""310"":"""",""90"":"""",""180"":"""",""280"":"""",""160"":"""",""380"":"""",""260"":"""",""140"":"""",""360"":"""",""240"":"""",""120"":"""",""340"":"""",""220"":"""",""100"":"""",""320"":"""",""200"":"""",""300"":"""",""400"":"""",""80"":"""",""229"":""""}",NL,,3500.0,4500.0,15087600
95,100,Svenja Reich,4803260,211510980.0,3500.0,4000.0,10900.0,1145.0,,,,,,3500.0,4000.0,13704900
96,101,RP Rotterdam,2335937,269057490.0,3500.0,4000.0,11000.0,1145.0,,,,,,3500.0,4000.0,13704900
97,102,Wiki,4306530,211584170.0,1419.0,1505.0,8596.0,955.0,272.0,100.0,"{""190"":""798"",""290"":"""",""170"":""649"",""390"":"""",""270"":""1404"",""150"":""501"",""370"":"""",""250"":""1251"",""130"":""354"",""350"":"""",""230"":"""",""110"":""208"",""330"":"""",""210"":""948"",""310"":"""",""90"":"""",""180"":""724"",""280"":"""",""160"":""575"",""380"":"""",""260"":""1327"",""140"":""428"",""360"":"""",""240"":""1175"",""120"":""281"",""340"":"""",""220"":""1024"",""100"":""136"",""320"":"""",""200"":""873"",""300"":"""",""400"":"""",""80"":""""}",NL,4.11,1500.0,2000.0,9556800
98,103,Eiltank 17,4002880,211494070.0,2500.0,3500.0,11000.0,1013.0,,,,,,2500.0,3500.0,12322200
99,104,Buran,4808420,211500770.0,1500.0,2000.0,8500.0,950.0,,,,,,1500.0,2000.0,8174100
